"Journal Data Filtered By:  Selected Categories: ENGINEERING, BIOMEDICAL Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"Nature Reviews Bioengineering","NAT REV BIOENG","SPRINGERNATURE","N/A","2731-6092","ENGINEERING, BIOMEDICAL","SCIE","5,529","42.7","Q1","3.11","3.47"%,
"Nature Biomedical Engineering","NAT BIOMED ENG","NATURE PORTFOLIO","2157-846X","2157-846X","ENGINEERING, BIOMEDICAL","SCIE","24,906","26.3","Q1","4.83","33.59"%,
"Bioactive Materials","BIOACT MATER","KEAI PUBLISHING LTD","N/A","2452-199X","ENGINEERING, BIOMEDICAL","SCIE","43,995","23.6","Q1","3.92","100"%,
"Cyborg and Bionic Systems","CYBORG BIONIC SYST","AMER ASSOC ADVANCEMENT SCIENCE","N/A","2692-7632","ENGINEERING, BIOMEDICAL","SCIE","2,883","20.9","Q1","3.09","100"%,
"Biomedical Technology","BIOMED TECHNOL-PRC","KEAI PUBLISHING LTD","N/A","2949-723X","ENGINEERING, BIOMEDICAL","ESCI","1,023","16.4","Q1","2.31","100"%,
"IEEE Reviews in Biomedical Engineering","IEEE REV BIOMED ENG","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1937-3333","1941-1189","ENGINEERING, BIOMEDICAL","SCIE","3,840","16","Q1","2.52","22"%,
"MEDICAL IMAGE ANALYSIS","MED IMAGE ANAL","ELSEVIER","1361-8415","1361-8423","ENGINEERING, BIOMEDICAL","SCIE","32,042","14","Q1","2.67","33.76"%,
"BIOMATERIALS","BIOMATERIALS","ELSEVIER SCI LTD","0142-9612","1878-5905","ENGINEERING, BIOMEDICAL","SCIE","110,718","13.6","Q1","2.34","16"%,
"Smart Medicine","SMART MED","WILEY-V C H VERLAG GMBH","2751-1871","2751-1871","ENGINEERING, BIOMEDICAL","ESCI","1,239","12.8","Q1","1.25","100"%,
"IEEE TRANSACTIONS ON MEDICAL IMAGING","IEEE T MED IMAGING","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0278-0062","1558-254X","ENGINEERING, BIOMEDICAL","SCIE","43,138","12.4","Q1","2.4","10.4"%,
"Annual Review of Biomedical Engineering","ANNU REV BIOMED ENG","ANNUAL REVIEWS","1523-9829","1545-4274","ENGINEERING, BIOMEDICAL","SCIE","5,920","11.5","Q1","1.09","100"%,
"Materials Today Bio","MATER TODAY BIO","ELSEVIER","2590-0064","2590-0064","ENGINEERING, BIOMEDICAL","SCIE","18,290","11","Q1","1.83","99.95"%,
"Advanced Healthcare Materials","ADV HEALTHC MATER","WILEY-V C H VERLAG GMBH","2192-2640","2192-2659","ENGINEERING, BIOMEDICAL","SCIE","58,168","11","Q1","1.39","27.11"%,
"Acta Biomaterialia","ACTA BIOMATER","ELSEVIER SCI LTD","1742-7061","1878-7568","ENGINEERING, BIOMEDICAL","SCIE","71,730","10.4","Q1","1.68","28.75"%,
"Biomaterials Research","BIOMATER RES","AMER ASSOC ADVANCEMENT SCIENCE","1226-4601","2055-7124","ENGINEERING, BIOMEDICAL","SCIE","6,095","9.8","Q1","1.26","100"%,
"BME Frontiers","BME FRONT","AMER ASSOC ADVANCEMENT SCIENCE","N/A","2765-8031","ENGINEERING, BIOMEDICAL","ESCI","841","9.1","Q1","1.04","100"%,
"Progress in Biomedical Engineering","PROG BIOMED ENG","IOP Publishing Ltd","N/A","2516-1091","ENGINEERING, BIOMEDICAL","ESCI","906","8.5","Q1","0.71","70.83"%,
"Biofabrication","BIOFABRICATION","IOP Publishing Ltd","1758-5082","1758-5090","ENGINEERING, BIOMEDICAL","SCIE","10,551","8.2","Q1","1.41","65.15"%,
"Bio-Design and Manufacturing","BIO-DES MANUF","SPRINGER HEIDELBERG","2096-5524","2522-8552","ENGINEERING, BIOMEDICAL","SCIE","2,245","7.9","Q1","1.17","24.67"%,
"Artificial Intelligence in Medicine","ARTIF INTELL MED","ELSEVIER","0933-3657","1873-2860","ENGINEERING, BIOMEDICAL","SCIE","9,654","7.8","Q1","1.28","31.47"%,
"npj Regenerative Medicine","NPJ REGEN MED","NATURE PORTFOLIO","N/A","2057-3995","ENGINEERING, BIOMEDICAL","SCIE","3,206","7","Q1","1.37","100"%,
"Photoacoustics","PHOTOACOUSTICS","ELSEVIER GMBH","2213-5979","2213-5979","ENGINEERING, BIOMEDICAL","SCIE","4,068","6.9","Q1","1.9","100"%,
"Bioelectronic Medicine","BIOELECTRON MED-US","SPRINGERNATURE","N/A","2332-8886","ENGINEERING, BIOMEDICAL","ESCI","703","6.8","Q1","1.06","100"%,
"Chemical & Biomedical Imaging","CHEM BIOMED IMAGING","AMER CHEMICAL SOC","2832-3637","2832-3637","ENGINEERING, BIOMEDICAL","ESCI","1,221","6.7","Q1","1","100"%,
"IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING","IEEE T NEUR SYS REH","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1534-4320","1558-0210","ENGINEERING, BIOMEDICAL","SCIE","20,154","6.6","Q1","2.02","100"%,
"Computer Methods and Programs in Biomedicine","COMPUT METH PROG BIO","ELSEVIER IRELAND LTD","0169-2607","1872-7565","ENGINEERING, BIOMEDICAL","SCIE","24,674","6.4","Q1","1.09","34.12"%,
"Organogenesis","ORGANOGENESIS","TAYLOR & FRANCIS INC","1547-6278","1555-8592","ENGINEERING, BIOMEDICAL","SCIE","1,061","6.3","Q1","0.68","100"%,
"Bioengineering & Translational Medicine","BIOENG TRANSL MED","WILEY","N/A","2380-6761","ENGINEERING, BIOMEDICAL","SCIE","5,075","6.2","Q1","1.09","100"%,
"Journal of NeuroEngineering and Rehabilitation","J NEUROENG REHABIL","BMC","N/A","1743-0003","ENGINEERING, BIOMEDICAL","SCIE","12,887","6","Q1","1.54","100"%,
"CLINICAL ORAL IMPLANTS RESEARCH","CLIN ORAL IMPLAN RES","WILEY","0905-7161","1600-0501","ENGINEERING, BIOMEDICAL","SCIE","16,256","5.9","Q1","1.41","53.03"%,
"Journal of Functional Biomaterials","J FUNCT BIOMATER","MDPI","N/A","2079-4983","ENGINEERING, BIOMEDICAL","SCIE","10,974","5.9","Q1","0.78","100"%,
"Frontiers in Bioengineering and Biotechnology","FRONT BIOENG BIOTECH","FRONTIERS MEDIA SA","2296-4185","2296-4185","ENGINEERING, BIOMEDICAL","SCIE","56,245","5.8","Q1","0.82","99.97"%,
"Biomedical Signal Processing and Control","BIOMED SIGNAL PROCES","ELSEVIER SCI LTD","1746-8094","1746-8108","ENGINEERING, BIOMEDICAL","SCIE","33,849","5.7","Q2","1.06","14.32"%,
"Artificial Cells Nanomedicine and Biotechnology","ARTIF CELL NANOMED B","TAYLOR & FRANCIS LTD","2169-1401","2169-141X","ENGINEERING, BIOMEDICAL","SCIE","7,718","5.6","Q2","0.87","99.25"%,
"COMPUTERIZED MEDICAL IMAGING AND GRAPHICS","COMPUT MED IMAG GRAP","PERGAMON-ELSEVIER SCIENCE LTD","0895-6111","1879-0771","ENGINEERING, BIOMEDICAL","SCIE","5,970","5.5","Q2","1.38","23.62"%,
"ANNALS OF BIOMEDICAL ENGINEERING","ANN BIOMED ENG","SPRINGER","0090-6964","1573-9686","ENGINEERING, BIOMEDICAL","SCIE","14,492","5.2","Q2","0.6","36.52"%,
"IEEE Transactions on Biomedical Circuits and Systems","IEEE T BIOMED CIRC S","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1932-4545","1940-9990","ENGINEERING, BIOMEDICAL","SCIE","6,393","5.1","Q2","0.97","6.06"%,
"Tissue Engineering and Regenerative Medicine","TISSUE ENG REGEN MED","KOREAN TISSUE ENGINEERING REGENERATIVE MEDICINE SOC","1738-2696","2212-5469","ENGINEERING, BIOMEDICAL","SCIE","3,073","5.1","Q2","0.79","20.32"%,
"International Journal of Bioprinting","INT J BIOPRINTING","Accscience Publishing","2424-7723","2424-8002","ENGINEERING, BIOMEDICAL","SCIE","3,565","5","Q2","0.83","98.24"%,
"Biocybernetics and Biomedical Engineering","BIOCYBERN BIOMED ENG","ELSEVIER","0208-5216","0208-5216","ENGINEERING, BIOMEDICAL","SCIE","3,362","4.9","Q2","1.07","41.52"%,
"APL Bioengineering","APL BIOENG","AIP Publishing","2473-2877","2473-2877","ENGINEERING, BIOMEDICAL","SCIE","2,453","4.9","Q2","0.74","100"%,
"Advanced NanoBiomed Research","ADV NANOBIOMED RES","WILEY-V C H VERLAG GMBH","2699-9307","2699-9307","ENGINEERING, BIOMEDICAL","ESCI","2,002","4.8","Q2","0.53","100"%,
"JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE","J MATER SCI-MATER M","SPRINGER","0957-4530","1573-4838","ENGINEERING, BIOMEDICAL","SCIE","10,633","4.7","Q2","0.76","100"%,
"Biomedical Engineering Online","BIOMED ENG ONLINE","BMC","N/A","1475-925X","ENGINEERING, BIOMEDICAL","SCIE","6,311","4.6","Q2","0.63","100"%,
"Frontiers in Medical Technology","FRONT MED TECHNOL","FRONTIERS MEDIA SA","N/A","2673-3129","ENGINEERING, BIOMEDICAL","ESCI","1,509","4.6","Q2","0.57","100"%,
"Medicine in Novel Technology and Devices","MED NOV TECHNOL DEV","ELSEVIER","N/A","2590-0935","ENGINEERING, BIOMEDICAL","ESCI","1,030","4.5","Q2","0.65","100"%,
"IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING","IEEE T BIO-MED ENG","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0018-9294","1558-2531","ENGINEERING, BIOMEDICAL","SCIE","28,916","4.4","Q2","0.95","14.13"%,
"Bioengineering-Basel","BIOENGINEERING-BASEL","MDPI","N/A","2306-5354","ENGINEERING, BIOMEDICAL","SCIE","20,716","4.4","Q2","0.72","99.9"%,
"BIOMEDICAL MICRODEVICES","BIOMED MICRODEVICES","SPRINGER","1387-2176","1572-8781","ENGINEERING, BIOMEDICAL","SCIE","3,487","4.4","Q2","0.53","33.57"%,
"IEEE Transactions on Medical Robotics and Bionics","IEEE T MED ROBOT BIO","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","N/A","2576-3202","ENGINEERING, BIOMEDICAL","ESCI","2,457","4.3","Q2","0.79","9.61"%,
"Tissue Engineering Part B-Reviews","TISSUE ENG PART B-RE","SAGE PUBLICATIONS INC","1937-3368","1937-3376","ENGINEERING, BIOMEDICAL","SCIE","5,087","4.3","Q2","0.43","6.59"%,
"Journal of the Mechanical Behavior of Biomedical Materials","J MECH BEHAV BIOMED","ELSEVIER","1751-6161","1878-0180","ENGINEERING, BIOMEDICAL","SCIE","23,127","4.1","Q2","0.68","32.75"%,
"Journal of Neural Engineering","J NEURAL ENG","IOP Publishing Ltd","1741-2560","1741-2552","ENGINEERING, BIOMEDICAL","SCIE","16,177","4","Q2","0.85","72.56"%,
"Regenerative Therapy","REGEN THER","ELSEVIER","2352-3204","2352-3204","ENGINEERING, BIOMEDICAL","SCIE","3,064","4","Q2","0.68","100"%,
"IEEE Journal of Translational Engineering in Health and Medicine","IEEE J TRANSL ENG HE","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2168-2372","2168-2372","ENGINEERING, BIOMEDICAL","SCIE","1,897","3.9","Q2","0.86","100"%,
"Biomedical Materials","BIOMED MATER","IOP Publishing Ltd","1748-6041","1748-605X","ENGINEERING, BIOMEDICAL","SCIE","7,354","3.9","Q2","0.65","53.26"%,
"Current Opinion in Biomedical Engineering","CURR OPIN BIOMED ENG","ELSEVIER","2468-4511","2468-4511","ENGINEERING, BIOMEDICAL","SCIE","2,144","3.8","Q2","0.75","29.11"%,
"JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A","J BIOMED MATER RES A","WILEY","1549-3296","1552-4965","ENGINEERING, BIOMEDICAL","SCIE","15,655","3.8","Q2","0.65","37.73"%,
"EUROPEAN CELLS & MATERIALS","EUR CELLS MATER","FORUM MULTIMEDIA PUBLISHING LLC","1473-2262","1473-2262","ENGINEERING, BIOMEDICAL","SCIE","2,706","3.6","Q2","0.82","100"%,
"Wearable Technologies","WEAR TECHNOL","CAMBRIDGE UNIV PRESS","N/A","2631-7176","ENGINEERING, BIOMEDICAL","ESCI","598","3.5","Q2","0.87","100"%,
"JOURNAL OF BIOMATERIALS SCIENCE-POLYMER EDITION","J BIOMAT SCI-POLYM E","TAYLOR & FRANCIS LTD","0920-5063","1568-5624","ENGINEERING, BIOMEDICAL","SCIE","5,789","3.5","Q2","0.63","2.07"%,
"Cellular and Molecular Bioengineering","CELL MOL BIOENG","SPRINGER","1865-5025","1865-5033","ENGINEERING, BIOMEDICAL","SCIE","1,495","3.5","Q2","0.46","41.82"%,
"Biomedical Engineering Letters","BIOMED ENG LETT","SPRINGERNATURE","2093-9868","2093-985X","ENGINEERING, BIOMEDICAL","SCIE","1,987","3.4","Q2","0.45","20"%,
"PHYSICS IN MEDICINE AND BIOLOGY","PHYS MED BIOL","IOP Publishing Ltd","0031-9155","1361-6560","ENGINEERING, BIOMEDICAL","SCIE","31,197","3.1","Q2","0.81","70.99"%,
"IEEE Open Journal of Engineering in Medicine and Biology","IEEE OPEN J ENG MED","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","N/A","2644-1276","ENGINEERING, BIOMEDICAL","ESCI","837","3.1","Q2","0.64","100"%,
"MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING","MED BIOL ENG COMPUT","SPRINGER HEIDELBERG","0140-0118","1741-0444","ENGINEERING, BIOMEDICAL","SCIE","8,381","3.1","Q2","0.62","16.33"%,
"Mechanobiology in Medicine","MECHANOBIOL MED","ELSEVIER","N/A","2949-9070","ENGINEERING, BIOMEDICAL","ESCI","226","3.1","Q2","0.36","100"%,
"Regenerative Engineering and Translational Medicine","REGEN ENG TRANSL MED","SPRINGER HEIDELBERG","2364-4133","2364-4141","ENGINEERING, BIOMEDICAL","ESCI","997","3.1","Q2","0.33","13.72"%,
"Biomechanics and Modeling in Mechanobiology","BIOMECH MODEL MECHAN","SPRINGER HEIDELBERG","1617-7959","1617-7940","ENGINEERING, BIOMEDICAL","SCIE","5,226","3","Q3","0.68","49.86"%,
"JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B-APPLIED BIOMATERIALS","J BIOMED MATER RES B","WILEY","1552-4973","1552-4981","ENGINEERING, BIOMEDICAL","SCIE","10,477","3","Q3","0.51","29.57"%,
"Regenerative Medicine","REGEN MED","TAYLOR & FRANCIS LTD","1746-0751","1746-076X","ENGINEERING, BIOMEDICAL","SCIE","2,210","3","Q3","0.43","16.79"%,
"JOURNAL OF BIOMECHANICS","J BIOMECH","ELSEVIER SCI LTD","0021-9290","1873-2380","ENGINEERING, BIOMEDICAL","SCIE","34,129","2.9","Q3","0.62","37.85"%,
"Journal of Applied Biomaterials & Functional Materials","J APPL BIOMATER FUNC","SAGE PUBLICATIONS LTD","N/A","2280-8000","ENGINEERING, BIOMEDICAL","SCIE","1,437","2.9","Q3","0.61","100"%,
"Biomedical Engineering and Computational Biology","BIOMED ENG COMPUT BI","SAGE PUBLICATIONS LTD","1179-5972","1179-5972","ENGINEERING, BIOMEDICAL","ESCI","156","2.9","Q3","0.32","100"%,
"International Journal of Computer Assisted Radiology and Surgery","INT J COMPUT ASS RAD","SPRINGER HEIDELBERG","1861-6410","1861-6429","ENGINEERING, BIOMEDICAL","SCIE","6,638","2.8","Q3","0.8","48.39"%,
"Tissue Engineering Part A","TISSUE ENG PT A","SAGE PUBLICATIONS INC","1937-3341","1937-335X","ENGINEERING, BIOMEDICAL","SCIE","7,051","2.8","Q3","0.52","7.41"%,
"Expert Review of Medical Devices","EXPERT REV MED DEVIC","TAYLOR & FRANCIS LTD","1743-4440","1745-2422","ENGINEERING, BIOMEDICAL","SCIE","3,781","2.8","Q3","0.34","7.29"%,
"LASERS IN MEDICAL SCIENCE","LASER MED SCI","SPRINGER LONDON LTD","0268-8921","1435-604X","ENGINEERING, BIOMEDICAL","SCIE","8,922","2.7","Q3","0.77","21.19"%,
"Brain-Computer Interfaces","BRAIN-COMPUT INTERFA","TAYLOR & FRANCIS LTD","2326-263X","2326-2621","ENGINEERING, BIOMEDICAL","ESCI","397","2.6","Q3","0.51","35.29"%,
"PHYSIOLOGICAL MEASUREMENT","PHYSIOL MEAS","IOP Publishing Ltd","0967-3334","1361-6579","ENGINEERING, BIOMEDICAL","SCIE","7,224","2.5","Q3","0.68","73.32"%,
"Physical and Engineering Sciences in Medicine","PHYS ENG SCI MED","SPRINGER","2662-4729","2662-4737","ENGINEERING, BIOMEDICAL","SCIE","1,714","2.4","Q3","0.55","28.38"%,
"Healthcare Technology Letters","HEALTHC TECHNOL LETT","WILEY","N/A","2053-3713","ENGINEERING, BIOMEDICAL","ESCI","804","2.4","Q3","0.49","100"%,
"Cardiovascular Engineering and Technology","CARDIOVASC ENG TECHN","SPRINGER","1869-408X","1869-4098","ENGINEERING, BIOMEDICAL","SCIE","1,330","2.4","Q3","0.47","35.06"%,
"MEDICAL ENGINEERING & PHYSICS","MED ENG PHYS","IOP Publishing Ltd","1350-4533","1873-4030","ENGINEERING, BIOMEDICAL","SCIE","7,446","2.4","Q3","0.42","21.78"%,
"JOURNAL OF BIOMATERIALS APPLICATIONS","J BIOMATER APPL","SAGE PUBLICATIONS LTD","0885-3282","1530-8022","ENGINEERING, BIOMEDICAL","SCIE","3,666","2.4","Q3","0.41","7.28"%,
"BIORHEOLOGY","BIORHEOLOGY","SAGE PUBLICATIONS INC","0006-355X","1878-5034","ENGINEERING, BIOMEDICAL","SCIE","1,214","2.3","Q3","0.46","0"%,
"International Journal of Biomedical Imaging","INT J BIOMED IMAGING","WILEY","1687-4188","1687-4196","ENGINEERING, BIOMEDICAL","ESCI","806","2.3","Q3","0.43","100"%,
"CELL AND TISSUE BANKING","CELL TISSUE BANK","SPRINGER","1389-9333","1573-6814","ENGINEERING, BIOMEDICAL","SCIE","1,574","2.3","Q3","0.31","24.24"%,
"ASAIO JOURNAL","ASAIO J","LIPPINCOTT WILLIAMS & WILKINS","1058-2916","1538-943X","ENGINEERING, BIOMEDICAL","SCIE","5,168","2.2","Q3","0.66","13.51"%,
"ARTIFICIAL ORGANS","ARTIF ORGANS","WILEY","0160-564X","1525-1594","ENGINEERING, BIOMEDICAL","SCIE","5,238","2.2","Q3","0.51","43.58"%,
"Journal of Rehabilitation and Assistive Technologies Engineering","J REHABIL ASSIST TER","SAGE PUBLICATIONS INC","2055-6683","2055-6683","ENGINEERING, BIOMEDICAL","ESCI","722","2.2","Q3","0.4","98.73"%,
"International Journal for Numerical Methods in Biomedical Engineering","INT J NUMER METH BIO","WILEY","2040-7939","2040-7947","ENGINEERING, BIOMEDICAL","SCIE","2,929","2.1","Q3","0.6","42.99"%,
"Journal of Medical and Biological Engineering","J MED BIOL ENG","SPRINGER HEIDELBERG","1609-0985","2199-4757","ENGINEERING, BIOMEDICAL","SCIE","1,655","2.1","Q3","0.33","20.43"%,
"Sports Biomechanics","SPORT BIOMECH","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1476-3141","1752-6116","ENGINEERING, BIOMEDICAL","SCIE","3,323","2","Q3","0.56","17.73"%,
"Journal of Tissue Engineering and Regenerative Medicine","J TISSUE ENG REGEN M","WILEY","1932-6254","1932-7005","ENGINEERING, BIOMEDICAL","SCIE","5,228","2","Q3","0.48","100"%,
"Tissue Engineering Part C-Methods","TISSUE ENG PART C-ME","SAGE PUBLICATIONS INC","1937-3384","1937-3392","ENGINEERING, BIOMEDICAL","SCIE","2,946","2","Q3","0.44","10.29"%,
"IRBM","IRBM","ELSEVIER SCIENCE INC","1959-0318","1876-0988","ENGINEERING, BIOMEDICAL","SCIE","1,358","1.9","Q3","0.79","32.62"%,
"COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING","COMPUT METHOD BIOMEC","TAYLOR & FRANCIS LTD","1025-5842","1476-8259","ENGINEERING, BIOMEDICAL","SCIE","4,873","1.9","Q3","0.39","4.62"%,
"Computer Methods in Biomechanics and Biomedical Engineering-Imaging and Visualization","COMP M BIO BIO E-IV","TAYLOR & FRANCIS LTD","2168-1163","2168-1171","ENGINEERING, BIOMEDICAL","ESCI","1,025","1.9","Q3","0.3","47.09"%,
"CLINICAL BIOMECHANICS","CLIN BIOMECH","ELSEVIER SCI LTD","0268-0033","1879-1271","ENGINEERING, BIOMEDICAL","SCIE","10,663","1.8","Q4","0.55","24.79"%,
"PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART H-JOURNAL OF ENGINEERING IN MEDICINE","P I MECH ENG H","SAGE PUBLICATIONS LTD","0954-4119","2041-3033","ENGINEERING, BIOMEDICAL","SCIE","3,456","1.8","Q4","0.31","12.58"%,
"Journal of Medical Signals & Sensors","J MED SIGNALS SENS","WOLTERS KLUWER MEDKNOW PUBLICATIONS","2228-7477","2228-7477","ENGINEERING, BIOMEDICAL","ESCI","610","1.8","Q4","0.25","100"%,
"ULTRASONIC IMAGING","ULTRASONIC IMAGING","SAGE PUBLICATIONS INC","0161-7346","1096-0910","ENGINEERING, BIOMEDICAL","SCIE","936","1.7","Q4","0.56","5.75"%,
"Biosurface and Biotribology","BIOSURF BIOTRIBOL","WILEY","2405-4518","2405-4518","ENGINEERING, BIOMEDICAL","ESCI","523","1.7","Q4","0.26","100"%,
"Applied Bionics and Biomechanics","APPL BIONICS BIOMECH","WILEY","1176-2322","1754-2103","ENGINEERING, BIOMEDICAL","SCIE","1,365","1.7","Q4","0.24","100"%,
"Bioinspired Biomimetic and Nanobiomaterials","BIOINSPIR BIOMIM NAN","EMERALD GROUP PUBLISHING LTD","2045-9858","2045-9866","ENGINEERING, BIOMEDICAL","SCIE","289","1.7","Q4","0.2","6.67"%,
"Journal of Applied Biomechanics","J APPL BIOMECH","HUMAN KINETICS PUBL INC","1065-8483","1543-2688","ENGINEERING, BIOMEDICAL","SCIE","2,873","1.6","Q4","0.46","0.53"%,
"JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME","J BIOMECH ENG-T ASME","ASME","0148-0731","1528-8951","ENGINEERING, BIOMEDICAL","SCIE","8,105","1.6","Q4","0.46","7.62"%,
"INTERNATIONAL JOURNAL OF ARTIFICIAL ORGANS","INT J ARTIF ORGANS","SAGE PUBLICATIONS LTD","0391-3988","1724-6040","ENGINEERING, BIOMEDICAL","SCIE","2,454","1.6","Q4","0.38","11.21"%,
"AIMS Bioengineering","AIMS BIOENG","AMER INST MATHEMATICAL SCIENCES-AIMS","2375-1495","2375-1495","ENGINEERING, BIOMEDICAL","ESCI","317","1.6","Q4","0.27","100"%,
"Medical Devices-Evidence and Research","MED DEVICES-EVID RES","DOVE MEDICAL PRESS LTD","1179-1470","1179-1470","ENGINEERING, BIOMEDICAL","ESCI","1,170","1.5","Q4","0.27","98.29"%,
"BIOMECHANICS","BIOMECHANICS-BASEL","MDPI","N/A","2673-7078","ENGINEERING, BIOMEDICAL","ESCI","333","1.4","Q4","0.33","100"%,
"TECHNOLOGY AND HEALTH CARE","TECHNOL HEALTH CARE","SAGE PUBLICATIONS INC","0928-7329","1878-7401","ENGINEERING, BIOMEDICAL","SCIE","2,878","1.3","Q4","0.38","1.91"%,
"PACE-PACING AND CLINICAL ELECTROPHYSIOLOGY","PACE","WILEY","0147-8389","1540-8159","ENGINEERING, BIOMEDICAL","SCIE","4,887","1.3","Q4","0.27","26.57"%,
"Biomedical Engineering-Biomedizinische Technik","BIOMED ENG-BIOMED TE","WALTER DE GRUYTER GMBH","0013-5585","1862-278X","ENGINEERING, BIOMEDICAL","SCIE","1,359","1.3","Q4","0.25","40.56"%,
"BIO-MEDICAL MATERIALS AND ENGINEERING","BIO-MED MATER ENG","SAGE PUBLICATIONS INC","0959-2989","1878-3619","ENGINEERING, BIOMEDICAL","SCIE","1,395","1.3","Q4","0.23","2.42"%,
"Progress in Biomaterials","PROG BIOMATER","OICC Press","2194-0509","2194-0517","ENGINEERING, BIOMEDICAL","SCIE","1,370","1.2","Q4","0.54","1.89"%,
"JOURNAL OF ARTIFICIAL ORGANS","J ARTIF ORGANS","SPRINGER JAPAN KK","1434-7229","1619-0904","ENGINEERING, BIOMEDICAL","SCIE","969","1.2","Q4","0.32","28.57"%,
"IEEE Pulse","IEEE PULSE","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2154-2287","2154-2317","ENGINEERING, BIOMEDICAL","SCIE","331","1.2","Q4","0.05","0"%,
"Acta of Bioengineering and Biomechanics","ACTA BIOENG BIOMECH","Paradigm Publishing Services-De Gruyter Brill Sp Zoo","1509-409X","2450-6303","ENGINEERING, BIOMEDICAL","SCIE","1,003","1","Q4","0.22","93.55"%,
"Journal of Biomechanical Science and Engineering","J BIOMECH SCI ENG","JAPAN SOC MECHANICAL ENGINEERS","N/A","1880-9863","ENGINEERING, BIOMEDICAL","ESCI","242","1","Q4","0.22","100"%,
"BIOMEDICAL ENGINEERING-APPLICATIONS BASIS COMMUNICATIONS","BIOMED ENG-APP BAS C","WORLD SCIENTIFIC PUBL CO PTE LTD","1016-2372","1793-7132","ENGINEERING, BIOMEDICAL","ESCI","402","1","Q4","0.15","1.07"%,
"International Journal of Biomedical Engineering and Technology","INT J BIOMED ENG TEC","INDERSCIENCE ENTERPRISES LTD","1752-6418","1752-6426","ENGINEERING, BIOMEDICAL","ESCI","394","0.9","Q4","0.15","0"%,
"ISOKINETICS AND EXERCISE SCIENCE","ISOKINET EXERC SCI","SAGE PUBLICATIONS INC","0959-3020","1878-5913","ENGINEERING, BIOMEDICAL","SCIE","719","0.8","Q4","0.27","3.33"%,
"Journal of Medical Devices-Transactions of the ASME","J MED DEVICES","ASME","1932-6181","1932-619X","ENGINEERING, BIOMEDICAL","SCIE","779","0.8","Q4","0.15","4.11"%,
"Advanced Biomedical Engineering","ADV BIOMED ENG","JAPANESE SOC MEDICAL & BIOLOGICAL ENGINEERING","2187-5219","2187-5219","ENGINEERING, BIOMEDICAL","ESCI","198","0.7","Q4","0.12","100"%,
"Journal of Mechanics in Medicine and Biology","J MECH MED BIOL","WORLD SCIENTIFIC PUBL CO PTE LTD","0219-5194","1793-6810","ENGINEERING, BIOMEDICAL","SCIE","1,302","0.6","Q4","0.15","35.48"%,
"Journal of Biomimetics Biomaterials and Biomedical Engineering","J BIOMIM BIOMATER BI","TRANS TECH PUBLICATIONS LTD","2296-9837","2296-9845","ENGINEERING, BIOMEDICAL","ESCI","241","0.6","Q4","0.1","100"%,
"Journal of Hard Tissue Biology","J HARD TISSUE BIOL","JOURNAL HARD TISSUE BIOLOGY","1341-7649","1341-7649","ENGINEERING, BIOMEDICAL","SCIE","231","0.5","Q4","0.09","17.2"%,
"BIOMEDICAL ENGINEERING","BIOMED ENG-MEDIT TEK","SPRINGER","0006-3398","1573-8256","ENGINEERING, BIOMEDICAL","ESCI","233","0.3","Q4","0.05","0"%,
"Research in Biomedical Engineering and Technology","RES BIOMED ENG TECH","TAYLOR & FRANCIS LTD","N/A","2996-0355","ENGINEERING, BIOMEDICAL","ESCI","0","N/A","N/A","N/A","0"%,

Copyright (c) 2026 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
